Accession;Description;Master;Abundance: F1: 128N, Sample, Alagille Syndrome;Abundance: F1: 130C, Sample, Alagille Syndrome;Abundance: F2: 130N, Sample, Alagille Syndrome;Abundance: F3: 127N, Sample, Alagille Syndrome;Abundance: F3: 129C, Sample, Alagille Syndrome;Abundance: F4: 126, Sample, Alagille Syndrome;Abundance: F4: 129N, Sample, Alagille Syndrome;Abundance: F1: 127C, Sample, Biliary Atresia;Abundance: F1: 130N, Sample, Biliary Atresia;Abundance: F2: 127N, Sample, Biliary Atresia;Abundance: F2: 129C, Sample, Biliary Atresia;Abundance: F3: 129N, Sample, Biliary Atresia;Abundance: F4: 128C, Sample, Biliary Atresia;Abundance: F4: 131N, Sample, Biliary Atresia;Abundance: F1: 126, Sample, Control;Abundance: F1: 129N, Sample, Control;Abundance: F2: 128C, Sample, Control;Abundance: F2: 131N, Sample, Control;Abundance: F3: 128N, Sample, Control;Abundance: F3: 130C, Sample, Control;Abundance: F4: 130N, Sample, Control;Abundance: F1: 131N, Sample, DAAT;Abundance: F2: 128N, Sample, DAAT;Abundance: F2: 130C, Sample, DAAT;Abundance: F3: 127C, Sample, DAAT;Abundance: F3: 130N, Sample, DAAT;Abundance: F4: 127N, Sample, DAAT;Abundance: F4: 129C, Sample, DAAT;Abundance: F1: 131C, Control, IS;Abundance: F2: 131C, Control, IS;Abundance: F3: 131C, Control, IS;Abundance: F4: 131C, Control, IS;Abundance: F1: 127N, Sample, PFIC;Abundance: F1: 128C, Sample, PFIC;Abundance: F1: 129C, Sample, PFIC;Abundance: F2: 126, Sample, PFIC;Abundance: F2: 127C, Sample, PFIC;Abundance: F2: 129N, Sample, PFIC;Abundance: F3: 126, Sample, PFIC;Abundance: F3: 128C, Sample, PFIC;Abundance: F3: 131N, Sample, PFIC;Abundance: F4: 127C, Sample, PFIC;Abundance: F4: 128N, Sample, PFIC;Abundance: F4: 130C, Sample, PFIC
Q13813;Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;Master Protein;88992,4;80988;60416,6;52852,5;60423,5;51555,2;60158,7;68129,7;60884,3;67450,7;67123,3;63222,5;69715,3;59447,7;55946,3;60365,9;58290,8;62484,3;54421,5;57095,7;59594,9;22857,7;55208,4;33095,2;51723;50872,6;52313;63029,9;70651;55367,5;56888,4;56403,7;78847,6;77195,2;58834,4;60658,4;66539,4;64871,7;71532,4;79875,1;85076,3;75599,9;67075,2;76193,3
P49327;Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3;Master Protein;83258,1;67362,2;49590,9;37214;52812,4;29903,4;51380,8;86181,4;54080,1;46601,8;68273,5;65431,1;49726,7;77444,4;71535,1;80878,5;114346,6;65989,1;47558,6;68667,9;43582,7;14831,5;29486;27506,8;38760,2;35470,5;48877;32597,8;55610,4;47105,4;53861,5;51699,7;58824,5;50542;38899,8;37536,2;54292,2;50455,7;56368,6;59227,3;50007,1;57299,7;32216,9;82360,3
P68032;Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1;Master Protein Rejected;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9Y490;Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3;Master Protein;65170,1;60343,9;45426,5;47522,3;48821,1;55731,2;49239,3;49881,7;52652,3;58053,8;51463;51111,7;53314,5;43889,8;43395,7;56421,1;46298,2;46444,1;41248,6;45887,5;47670,6;19283,4;50732,9;30604,9;42456,7;37865,6;46332,5;56052,9;59108,5;45931,1;45768,6;47466,1;66152,3;64784,2;51277,5;49012,9;48267,4;47428,9;61422,2;58744,7;73441,5;56652,2;75363,4;62217,9
P00352;Retinal dehydrogenase 1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2;Master Protein;95921,2;86693,6;44563,6;42571,7;89904;28096,8;62435,7;53009;38744,9;38575,9;52850,4;50164,1;53582,8;58315,8;48411,9;55033,4;45771,5;37810,8;50871,4;49095,2;50354,5;13309;25876,1;18006;53995,2;37790,4;29339,5;31109,1;51527,8;40000,3;45269;45286,8;50369,4;62534,2;30931,1;41599,4;54670,2;59653,5;41711,8;47728,4;65502;86678,1;40462,5;47678,5
P68133;Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1;Master Protein;21,6;22;223,8;24,3;26,2;59,8;82,4;23,3;21;297,6;260,8;28,6;86,5;71,5;21;29,1;260,2;248,2;43,4;18,8;79,8;12,4;190,6;176,8;20,1;17,4;63,8;75,6;27,4;218,6;5,8;68,7;15,8;23,9;19;234,3;250,2;259,6;24,7;25,8;41,5;104,5;84,8;83,6
P07327;Alcohol dehydrogenase 1A OS=Homo sapiens OX=9606 GN=ADH1A PE=1 SV=2;Master Protein;5688,2;5227,9;3673,7;1986,2;5263,7;1357,7;3729,9;4229,9;2114;2741,3;3317,3;2072,9;1151,6;4076,3;7131,9;6233,5;6961;7243,7;6119,1;7571,9;5631,9;776,9;2356;1386,5;3827,5;4067,3;1260,6;1225,6;3961,3;3242,6;4051;2960,1;3824,3;4562,6;2776,5;3222,2;4099;5577,1;2999,9;3918,7;4635,1;3338,2;1157,5;2287,5
P62736;Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1;Master Protein;8617,6;8440,4;8484,5;9764,4;8007,9;12332,2;8481,8;6812,7;9227;14194,3;10384,2;10398;12966,9;9131,4;5906,4;6489;9394;8463;6490,3;7023,5;8572,4;5301,7;10581,6;9065;8130,1;7922;8891,1;15431,1;9279;8914,4;8245,5;9625,1;9353,5;10576,6;8640,9;7851,7;8214,3;9729,9;10995,9;8982,4;12715;10094,8;16808,7;10957,1
P63267;Actin, gamma-enteric smooth muscle OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=1;None;8453,9;8306,2;8415,6;9664,2;7855,7;12124,5;8363,1;6680,8;9018,5;13983,9;10272,4;10251,5;12740,7;8973,3;5789,4;6377,6;9326,6;8401,9;6344,3;6876,8;8433,5;5212,7;10431,3;8817,3;8011,5;7805,9;8747,3;15145,1;9082,6;8819,2;8103,5;9447,6;9167,4;10374,2;8441,4;7791,1;8159,4;9656,5;10849;8821,1;12548,9;9939;16497;10771,3
P68871;Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2;Master Protein;34516,2;23302,5;43900,9;33622,7;50306,3;33636;23049,9;30779,5;94105,4;16096,5;26128,3;28648,9;26639,5;22199,1;14238,3;20704,9;12000,2;15143,8;14790,1;15103,2;17132,4;55295,4;30140,6;30123,3;22860,3;38282,5;20395,3;17467,1;34418;24493,5;25852,5;26781,9;29986,7;28573,7;45248,1;20050,5;23866,6;36116,9;55269,6;22678,1;21750;40420,3;38779,7;65874,9
Q01082;Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;Master Protein;67309,9;60087,5;49466,8;43603,2;49349,1;43710,3;46836,7;50281,8;45263,9;56235,6;55065,7;51837,7;58898,2;46979,4;42772,7;45614,5;45908,6;49591,3;44714,7;48335,7;45355;17280,1;46300,2;27146,3;42339,8;41568,9;44044;51692,7;53763,6;45695,1;46900,3;45603,1;60144,3;57540,4;43729,1;49163,5;54013,6;51121,3;60308,7;66929,9;70479,1;59725,8;58052,6;63550,1
P04406;Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;Master Protein;46188,7;43640,8;28880,8;30454,4;34956,7;25402,3;30739,8;40576,9;30086,5;37984,5;38508,3;43661,6;43170,2;31920,7;39250,3;53406,3;37932;37819;33843;32957,5;36712,9;13594,1;29349,4;19693,5;30245,1;32344,6;37968,5;37585,4;40129,6;29980,9;33243,1;31798,9;44283,8;44817,5;30932,2;33876,8;37717,4;29287,6;41133,6;37525,7;41337,6;36995,1;49639;39620,1
P21333;Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4;Master Protein;41448;47881,5;38057,6;55282,8;37701,5;69178,9;36592,7;34060;56342,4;72810,4;47221,8;52922,2;63114,8;38618,8;29015,8;33272;36640,7;32115,6;33995,8;34924,2;35361;34471,5;72226,6;48840,6;41175;35899,7;45696,4;80891,7;55127,8;42446,8;46270,9;45107,4;65529,9;61968,2;66086,8;35447,4;37212,1;41666,9;85585,5;54212,8;86692,6;42827,5;103185,1;53901,3
O75369;Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2;Master Protein;71612;54610,1;39345,4;36137,4;50053,4;33654;41412,2;39234,9;36139,2;41776,3;39894,1;41541,5;39863,3;40216,1;46653,6;47154,9;43313,6;49415;44745,2;55767,9;48125,4;15902;32930,1;21843,3;37261,6;37408,8;29017,5;37000,7;47778;38619,9;41504,4;39334,9;46954;50262,3;39322,2;40880,1;45138,5;50588,8;47323;49428,2;66321,7;63588,4;41302,6;42928
Q9P2E9;Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;Master Protein;67823,7;47348;51001,6;49870,9;46151,1;29121,3;49449,3;49619,7;45515,5;61105,1;59580,5;48877;60733,6;58040,9;50811,2;75953,7;62113,2;80158,4;52816,8;41322,1;50744,4;14882,2;29290,6;25759,2;40040,1;40175,3;59562,5;44969,9;58196,1;50615,6;47187,8;55129,8;62122,6;66810,1;32696,2;56203,5;68611,9;45169;56389,5;61344,6;64019,1;73430,5;63462,4;82407,4
P00326;Alcohol dehydrogenase 1C OS=Homo sapiens OX=9606 GN=ADH1C PE=1 SV=2;Master Protein;10386,2;10151,9;5219,7;2785,9;7830,2;2937,9;11484,1;6662,7;3719;4993,5;8763,3;5523,1;2757,8;9893,9;18841,4;14222,9;20529,1;17608,8;16110,7;16704,6;16388,8;1529,4;3634,5;2385,9;5600,6;4709,7;3964,1;2768,5;8160,5;6665,1;7999,4;7107,8;7386,7;8201,6;5335,7;6531,1;7547,4;5866,6;3606,3;7344,9;4788,1;4844,4;3190,3;5579,7
P05062;Fructose-bisphosphate aldolase B OS=Homo sapiens OX=9606 GN=ALDOB PE=1 SV=2;Master Protein;52120,8;43370,4;26510,6;24788,5;32797,1;16628,1;37095;46160,6;22396,9;25495,9;28583;32625,2;25677,6;29739,6;58075,7;55015;71388,3;48945,1;49898,6;61251,8;48458,3;10448,1;22530,2;13555,9;27712,3;30326,4;26052,5;17762,6;38361,6;31130,5;35382,3;35095;39554,3;31773,4;24336,6;32255,5;35778;31504,4;41179,6;44211,1;41737,5;44699,8;26399,7;29952,6
P08319;All-trans-retinol dehydrogenase [NAD(+)] ADH4 OS=Homo sapiens OX=9606 GN=ADH4 PE=1 SV=5;Master Protein;31774,1;30547,8;19026,2;15441,3;30181,2;9594,4;28423;25193,9;13552,5;18271,6;18350;10814,2;11534,9;31050,5;66522,8;43093,4;62877,1;48757,6;49921,8;77861,3;65259,8;7061,4;16986,5;9917,4;23292,2;19038,5;11595,6;10636,5;25874,3;21587,7;24714,8;26369,2;25450,4;29469,9;19319,5;23674,7;25973,2;21479,5;15892,3;16888,7;20451,1;26366,2;9975,3;18122,2
P01009;Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3;Master Protein;14628,7;13908,9;19909,1;26080,5;25945,6;31137,8;19203,3;15287,8;21266,5;27065,4;18492,6;20665,6;22358,2;20514;11448,5;17175,6;13000,3;22594,4;20114;19494,9;21343,8;33778,4;64310,6;76783;151835,3;93820,9;191262,6;90624,7;45699,7;29773,8;34353,8;31539,2;20361,6;22714,1;31970,8;15170,9;15936,7;12063,9;22720,9;20983,9;22197,8;22367,6;22954,1;21323,1
P01024;Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2;Master Protein;42726;39478,4;49797;67387,8;50542,9;77732,1;28104,8;37896;49348;42935;34855,6;34213,5;35067,6;29286,1;22444,9;33776,3;21284;34108,2;22273,3;20951,3;22482,3;42563;28311,2;40149,5;27439,3;33529,7;27306,8;24317,9;42372,8;33348,1;34555,6;30862,8;48203,2;48296,7;72294,6;26230,8;32773,7;32096,8;40254,8;53212,6;40239,8;42385,8;39974,3;38438,9
Q16822;Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Homo sapiens OX=9606 GN=PCK2 PE=1 SV=4;Master Protein;42561;31678,7;20090;19696,5;34629,4;13986,1;31923,1;25276,2;19123,4;20229,1;24261,3;26632,6;24538,3;28669,5;41539,1;24432,6;33882,9;24195,8;40105,1;35088;28096,7;7332;15330,9;9360,8;29069,8;27241,9;20835,9;17949,4;25071,2;20363,7;26007;25570,8;22989;25571,9;18169,3;18543,8;21938,9;36617,5;23766,8;29362,8;35736,9;40261,5;20639,1;26266,7
P05787;Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7;Master Protein;68113,9;56756,7;35265,5;26645,7;45031,1;25716,7;34810,6;34561,4;29544,2;39261,9;40114,9;40056,9;54498;35175,8;25746,9;21822;25965,3;31349,7;29745,8;27603,2;49483,1;8083;22506,6;11512,7;30140,6;32761,7;33167,7;42410;35424;30826;33032,6;34125,1;29863,4;42190,8;21983;28589,7;44991,4;37479;35838,6;45905;52936,1;61820,1;45218,5;37777,9
P21549;Serine--pyruvate aminotransferase OS=Homo sapiens OX=9606 GN=AGXT PE=1 SV=1;Master Protein;51398,7;35335,2;22396,8;21994,3;45459,9;15155;25075,5;32182,3;21419,9;19583,8;34358,4;24939;25251,4;30077,6;30524,3;25700;23531,5;32417;28276,3;25622,9;29366,9;10785,1;29959,5;12611,3;36451,6;32455,5;28069;24180,9;26036,3;21873,9;24500,9;25219,6;28122,9;29953,6;20086,2;20730,2;25630,7;32425;20559,8;24310;32840,7;45099;21629,2;22406,6
Q06278;Aldehyde oxidase OS=Homo sapiens OX=9606 GN=AOX1 PE=1 SV=2;Master Protein;53704,2;42870,9;25980;23960,6;47404,7;15544,9;39576,6;35299,1;28648,2;43572,8;37821,7;30156,4;22892,2;37386,8;58153,4;58394,8;78301;60375,3;63095,9;55014,8;64897;10495,2;23638,8;15119,1;45898,7;32819,4;25809,8;20962;38492,7;34486,2;37085,4;34418,7;41039,7;41834;30816,4;32916,5;27317,7;47019,6;17976,9;27722,1;35138,5;40279,7;21823,3;29570,2
P05783;Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;Master Protein;62092,4;41964,5;31569,8;27380,1;37095,4;21938,7;30701,6;27951;24012,9;33526,7;33878,9;34279,7;44015,5;29032,3;20647,1;18418,1;20162,8;24898,8;22930,2;24116,5;43431,5;6398,3;20406,3;12012;24639,3;25208,2;35708,8;33197,6;28712,2;26774,4;27330,3;30834,7;33129,6;32762,9;20379,4;28236;40452,4;33076,2;34472,1;42317,1;47131,1;56673,7;42703,1;38759,5
P10809;60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2;Master Protein;37201,7;35260,3;26064,9;19891,9;30894,2;17595,8;27187,4;31623,9;22665;28758,2;39614,3;30532;38083,6;31303,2;31109,9;36915,1;37867,9;35203,9;33853,6;31475,2;34133,2;6343,5;20583,1;10177,3;27778,1;26405,1;32945,3;26633,8;26487,7;24344;24918,9;27311,8;25054,5;26504,5;19763,7;25571,2;30775,7;31523,6;24464,4;31951,9;34230,5;32152,9;29426,3;31977,7
P23141;Liver carboxylesterase 1 OS=Homo sapiens OX=9606 GN=CES1 PE=1 SV=2;Master Protein;35113,1;34646;27731,1;17037,9;36990,5;10569,7;39158,6;30932,2;20115,4;28972,9;34676,4;13114,6;16946,5;33450,9;64130,1;44181,7;67385,1;45004,5;45110,6;59468,2;48717,8;7297,3;17100,1;13220,8;36140,5;18862,6;14785,6;14460,2;28311,9;25498,6;25732,6;25566,1;25572,2;29186,1;19455;23318,2;31069,2;34610,1;11975,4;19047,5;22366,8;26344,4;12394,9;17150,5
Q14204;Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5;Master Protein;47298,9;44064,1;33497,6;30858,2;36709,9;35820;34606;39404,4;34162,8;45878,7;39873,7;37962,8;43890,7;37283,7;33904,6;43758,1;34379,2;35143,2;30791,8;34498,1;36967,5;15478,9;32294,6;22348,8;30097;26785,7;36246,2;47220,1;40442,2;32918,6;33335,1;36343,7;47136,6;44410,8;39274,4;33155,3;36074,7;35588,4;40454,1;41722,5;47570,8;42981,8;48533,1;46025,8
P14625;Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1;Master Protein;51576,2;47038,1;35200,6;31882,7;40553,2;33474,4;39360,8;41660,3;35550,7;48657,5;41882,8;37773;42463,5;43566,9;40347,9;61855,9;33490,4;46516,2;37455,4;46222,8;43572,5;12529,8;35084,3;22468,6;38568,5;36811;42667,5;40131,2;42823,6;35947,1;36028,2;40386,7;54146,2;47503,9;42347,3;41322;43726,7;42342,6;35189,1;48438,7;48931,4;43730,9;49474,3;48017
P35580;Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3;Master Protein;29125,8;30526,2;23822,3;29063,2;26381,1;40158,9;22918,7;20306,6;26818,6;29814,6;21469,2;27300,5;31095,6;24663;19760,1;25263,8;22681,5;20129,1;22680,7;24185,1;28063,6;13459;32173,4;24275,5;20552,1;17885,5;26350,4;34268,8;31559,5;23741,8;24926,6;26876,3;35721,6;32827,1;25743,9;22893,8;23676,9;27429,6;45529,6;30504,8;45127,1;28567,5;53980,7;39854
P07148;Fatty acid-binding protein, liver OS=Homo sapiens OX=9606 GN=FABP1 PE=1 SV=1;Master Protein;28651,5;22517,9;21718,6;17063,5;26545;14642,7;22832,7;31361,7;20833,5;25293,2;32009,2;22600;22152;32274,9;35866;33281,4;30743,3;46277,8;34688,2;32982;41830,4;8703,7;22885,9;14102,6;18348,9;26540,7;19036,9;16829,5;22519,4;22481,2;22881,1;24503;25198,4;26462,4;17066,6;23143,5;23929,1;26449,7;31262,3;27613,6;29878,6;24402,3;22122,2;36663,4
P02042;Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2;Master Protein;3230;1708,8;3027,5;4152,2;5739,4;4355,4;2730,8;2630;8488;1042;1820,2;3441,5;3858,5;2833,8;826;1316;624,2;950,4;1689,6;1678,6;2076,8;3964,4;2150;1653,8;2012,8;3861,8;2831,2;2611,1;2891,1;1714,2;2902,9;3515,5;2474,3;2387,2;3876,5;1224,8;1660,6;2914,4;5713,6;2829,1;2571,1;5355,3;5866,2;9043,4
P51659;Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3;Master Protein;60571,5;36578,2;24201,9;20205,3;44405,3;13868,9;25149,8;45348,4;23659,2;21326,7;29671,1;22790,3;24543,5;26348,5;31750,6;33021,6;31164,1;35751,7;32311,1;29610,6;30712,3;9244,1;32450,1;17248,3;43061,5;30491,9;36242,9;29550;31942,3;23721,9;27458,3;26529,3;36445,5;31135,9;24726,4;21939;27945,4;29520,7;18832,1;23691;28083,9;38077,3;21272,9;23480,6
P05091;Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2;Master Protein;40428,5;32998,2;21354,9;16889,4;34045,2;13660,4;27137,9;29539;22552,1;21390,1;29265,9;23114,3;22230,9;31031,7;34514,8;26509,9;33222;28150,8;34177,2;36730,5;34823,9;5808,8;17156,6;9266;28457,4;27072,9;23405,1;19112,4;25799,1;20809,9;22864,4;25375,3;22769,2;22550,3;16864,6;21807,5;24231,9;29018,3;20136,6;23551,7;29068,7;36431,4;20181,1;26622,6
P69905;Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2;Master Protein;26740,5;15277,6;34349,9;25622,5;45382,1;29012,4;17805,5;23474,7;79018,7;12271,9;20731,7;25102,7;23586,1;19005,1;9272,9;13883,7;9334,9;10931,4;10692,3;10553,9;12971,2;27022,7;23710,2;23283;17556,8;32190,3;16922,4;15485,4;24575,5;18670,4;20997,3;20964;20549,2;21056,7;35810,2;18010,6;21405;28888;44927,4;17754;17567,4;34057,7;31165,2;50002,4
